m,n=100000,n=1000000,n=10000000
1460,1.2999516911804676e-06,4.00003045797348e-07,4.00003045797348e-07
1470,1.500011421740055e-06,3.00002284348011e-07,3.00002284348011e-07
1480,1.300009898841381e-06,3.00002284348011e-07,2.00001522898674e-07
1490,3.400025889277458e-06,4.00003045797348e-07,3.9994483813643456e-07
1500,2.400018274784088e-06,3.00002284348011e-07,3.00002284348011e-07
1510,1.9000144675374031e-06,3.00002284348011e-07,2.00001522898674e-07
1520,2.100015990436077e-06,2.00001522898674e-07,2.00001522898674e-07
1530,1.2999516911804676e-06,3.00002284348011e-07,3.00002284348011e-07
1540,1.300009898841381e-06,3.00002284348011e-07,2.00001522898674e-07
1550,1.3999524526298046e-06,3.00002284348011e-07,2.00001522898674e-07
1560,1.500011421740055e-06,3.00002284348011e-07,2.00001522898674e-07
1570,1.100008375942707e-06,2.9994407668709755e-07,2.00001522898674e-07
1580,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
1590,1.200009137392044e-06,4.00003045797348e-07,4.00003045797348e-07
1600,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1610,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
1620,9.999494068324566e-07,2.00001522898674e-07,3.00002284348011e-07
1630,1.00000761449337e-06,2.9994407668709755e-07,3.00002284348011e-07
1640,1.400010660290718e-06,2.00001522898674e-07,1.9994331523776054e-07
1650,1.4999532140791416e-06,3.00002284348011e-07,2.00001522898674e-07
1660,1.700012944638729e-06,3.00002284348011e-07,2.00001522898674e-07
1670,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
1680,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1690,1.500011421740055e-06,3.00002284348011e-07,3.00002284348011e-07
1700,1.400010660290718e-06,3.00002284348011e-07,3.00002284348011e-07
1710,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1720,1.100008375942707e-06,1.9994331523776054e-07,2.00001522898674e-07
1730,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1740,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
1750,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
1760,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1770,1.00000761449337e-06,2.9994407668709755e-07,3.00002284348011e-07
1780,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
1790,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
1800,9.999494068324566e-07,3.00002284348011e-07,2.00001522898674e-07
1810,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1820,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
1830,1.2999516911804676e-06,3.00002284348011e-07,3.00002284348011e-07
1840,1.200009137392044e-06,2.00001522898674e-07,3.00002284348011e-07
1850,1.2999516911804676e-06,3.00002284348011e-07,3.00002284348011e-07
1860,2.800021320581436e-06,3.00002284348011e-07,3.00002284348011e-07
1870,1.700012944638729e-06,3.00002284348011e-07,2.00001522898674e-07
1880,1.100008375942707e-06,2.00001522898674e-07,2.00001522898674e-07
1890,1.400010660290718e-06,3.00002284348011e-07,2.00001522898674e-07
1900,1.200009137392044e-06,2.00001522898674e-07,2.00001522898674e-07
1910,1.1999509297311306e-06,3.00002284348011e-07,3.00002284348011e-07
1920,1.100008375942707e-06,3.00002284348011e-07,2.00001522898674e-07
1930,1.100008375942707e-06,2.00001522898674e-07,3.00002284348011e-07
1940,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
1950,9.999494068324566e-07,2.00001522898674e-07,2.00001522898674e-07
1960,1.200009137392044e-06,2.00001522898674e-07,2.00001522898674e-07
1970,1.100008375942707e-06,1.9994331523776054e-07,2.00001522898674e-07
1980,9.999494068324566e-07,3.00002284348011e-07,3.00002284348011e-07
1990,1.200009137392044e-06,3.00002284348011e-07,2.00001522898674e-07
2000,1.100008375942707e-06,3.00002284348011e-07,2.9994407668709755e-07
2010,1.00000761449337e-06,2.00001522898674e-07,2.00001522898674e-07
2020,1.200009137392044e-06,2.9994407668709755e-07,3.00002284348011e-07
2030,1.00000761449337e-06,2.00001522898674e-07,1.9994331523776054e-07
2040,1.200009137392044e-06,2.00001522898674e-07,3.00002284348011e-07
2050,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2060,1.300009898841381e-06,3.00002284348011e-07,2.00001522898674e-07
2070,1.100008375942707e-06,3.00002284348011e-07,3.00002284348011e-07
2080,1.600012183189392e-06,3.00002284348011e-07,3.00002284348011e-07
2090,1.200009137392044e-06,2.00001522898674e-07,3.00002284348011e-07
2100,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2110,1.0999501682817936e-06,2.00001522898674e-07,2.00001522898674e-07
2120,1.00000761449337e-06,3.00002284348011e-07,3.00002284348011e-07
2130,1.00000761449337e-06,3.00002284348011e-07,2.00001522898674e-07
2140,1.500011421740055e-06,2.9994407668709755e-07,2.00001522898674e-07
2150,1.300009898841381e-06,3.00002284348011e-07,3.00002284348011e-07
